favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
38,Twitter for iPhone,No no no. Nikulin was picked up by BIS on an Interpol Red Warrant issued by James Comey. He went to Prague to get p… https://t.co/8qqH1ItM9a,,False,Sat Feb 11 13:17:29 +0000 2017,39,830405395550203906
73,Twitter for iPhone,@jk_rowling @piersmorgan OUCH,jk_rowling,False,Sat Feb 11 13:18:18 +0000 2017,2,830405604648816642
9,Twitter for iPhone,@kinglj013 she only said Prague Cohen,kinglj013,False,Sat Feb 11 13:19:24 +0000 2017,2,830405878889213953
146,Twitter for iPhone,"Ed @snowden was always a knowing Russian asset, helped by Julian Assange and Correa as I have reported in ""Dear Mr. Putin""",,False,Sat Feb 11 13:29:27 +0000 2017,96,830408408125816833
201,Twitter for iPhone,"The fact is Putin won't send him back I don't think and is saying ""Don't talk about Flynn! Talk about this shiny, shiny bubble! Ooh shiny!""",,False,Sat Feb 11 13:31:04 +0000 2017,90,830408814503587840
286,Twitter for iPhone,"But Putin's even toying with his asset ought to scare his many collaborators in the US including Page, Flynn, Manafort and Burt",,False,Sat Feb 11 13:31:57 +0000 2017,190,830409037887979521
146,Twitter for iPhone,"Because, as too many FSB are learning in Russia Putin is very disloyal. Bad quality in a gang boss. Leads to leaks and singing.",,False,Sat Feb 11 13:34:37 +0000 2017,72,830409710465667072
3018,Twitter for iPhone,"Oh look journalists! President goes to Mar a Lago for ""golf"" and Dimitry Rybolovev's MKATE flies to West Palm Beach! #PutinGate #WilburRoss",,False,Sat Feb 11 14:23:39 +0000 2017,3202,830422049466236928
243,Twitter for iPhone,Who is on the manifest of MKATE that just flew to Florida to join President Bannon and COS Trump? #PutinGate #Flynntelligence #Rybolovev,,False,Sat Feb 11 14:24:47 +0000 2017,210,830422334137839617
218,Twitter Web Client,@JohnBrownlow @Edpilkington and Charlotte NC Nov 3,JohnBrownlow,False,Sat Feb 11 16:12:11 +0000 2017,116,830449361695961088
42,Twitter Web Client,"ORLY

#bagman
#SteeleDossier
#BankOfCyprus https://t.co/vur6cgeIH3",,False,Sat Feb 11 16:12:50 +0000 2017,34,830449524518825984
114,Twitter Web Client,"Low bar, McMullin. Low bar :) https://t.co/G6imLADTvo",,False,Sat Feb 11 16:14:23 +0000 2017,24,830449915436400641
37,Twitter Web Client,"No, that's @PutinRF you're thinking of there https://t.co/dwkYVCupHo",,False,Sat Feb 11 16:17:31 +0000 2017,10,830450704292671488
45,Twitter Web Client,that can't be real but it's still funny https://t.co/H26ToAZ71B,,False,Sat Feb 11 16:42:55 +0000 2017,31,830457096298696706
111,Twitter Web Client,I don't tolerate it. https://t.co/jIKURswVMK,,False,Sat Feb 11 16:43:43 +0000 2017,33,830457296559939586
14,Twitter Web Client,@lyledal @ZULU401 @SecretService @realDonaldTrump @20committee @FBI are the Putinbots crying again? Russian snowflakes,lyledal,False,Sat Feb 11 16:45:32 +0000 2017,4,830457755517517824
256,Twitter Web Client,"Oh!
What a strange piece of #Flynntelligence!
#MoscowMike meets bagman Rybolovev at Mar-a-lago 
#WilburRoss… https://t.co/ZzBdDXnm5P",,False,Sat Feb 11 16:47:04 +0000 2017,264,830458140307103744
53,Twitter Web Client,"Honey came in and she caught me red-handed freaking on the bathroom floor
(wasn't me)
&lt;--- #MoscowMike
#MKATE… https://t.co/VgaZEQ4FPc",,False,Sat Feb 11 16:48:37 +0000 2017,34,830458529119141888
27,Twitter Web Client,Via @AndrewSWeiss - @CarnegieEndow gives a true policy framework - #AmericaFirst on relations with Russia https://t.co/Kw7D9W9aa1,,False,Sat Feb 11 16:53:15 +0000 2017,24,830459695978672128
1145,Twitter Web Client,So Dimitry Rybolovev and which FSB spies flew to Miami to meet Trump and #MoscowMike today as Trump spits in Pence's face? #MKATE,,False,Sat Feb 11 16:54:10 +0000 2017,1081,830459928708018176
204,Twitter Web Client,"Remember, @VP @Mike_Pence told reporters that Mike Flynn lied to him, causing him to lie to them. Trump today: 'I love Flynn, screw Pence'",,False,Sat Feb 11 16:55:15 +0000 2017,159,830460199869804546
260,Twitter Web Client,"Donald Trump says he has confidence in Mike Flynn
Mike Pence: Flynn lied to me, made me lie to @Nakashimae @WashingtonPost
= Trump vs Pence",,False,Sat Feb 11 16:58:14 +0000 2017,184,830460951325450241
24,Twitter Web Client,"@swjlv through his daughter's instagram, which he so obligingly told journalists to check.",swjlv,False,Sat Feb 11 17:00:40 +0000 2017,5,830461564180377605
60,Twitter Web Client,"@swjlv also, I'm a genius.",swjlv,False,Sat Feb 11 17:00:50 +0000 2017,7,830461605561434112
86,Twitter Web Client,"@swjlv I found a now-deleted picture of a wingtip returning from St. Bart's on Jan 2nd. Tracked it down, tracked the fleet, the owners, etc.",swjlv,False,Sat Feb 11 17:02:26 +0000 2017,25,830462008369807361
266,Twitter Web Client,Hope you have news helicopters and people shadowing all the Russians and FSB disembarking from MKATE that just flew… https://t.co/Rg8rpaSv1Q,,False,Sat Feb 11 17:03:39 +0000 2017,259,830462312620363778
82,Twitter Web Client,Trump has his own men in the White House. Like @KeithSchiller45. The REAL @SecretService must protect the Vice-President from private thugs.,,False,Sat Feb 11 17:05:23 +0000 2017,61,830462749847207937
166,Twitter Web Client,Trump would love to be rid of Mike Pence whom he insults today by backing criminal and traitor Mike Flynn. @SecretService must guard @VP.,,False,Sat Feb 11 17:06:02 +0000 2017,103,830462912552697856
233,Twitter Web Client,The United States @SecretService should not tolerate a single one of Trump's private thugs having access to the Vice-President @mike_pence,,False,Sat Feb 11 17:07:52 +0000 2017,113,830463373271789568
